,SLUMP_LENGTH,BIN_ONE,BIN_TWO,BIN_THREE,BIN_FOUR,BIN_FIVE,BIN_SIX,BIN_SEVEN,BIN_EIGHT,BIN_NINE
0,6.0,0.7859376092461785,0.7761700708820538,0.7554991442799017,0.744581431839758,0.7332671285118089,0.7215509144597821,0.7094284027202129,0.696896258602923,0.751078279101702
1,7.0,0.6779764778602551,0.6644338183571682,0.6361176914463551,0.6213519291608013,0.6061893187436577,0.5906386561242892,0.5747109788984363,0.558419708208874,0.6301227685180448
2,8.0,0.6020420678154894,0.5863887607832862,0.5539753040897712,0.5372458802083806,0.520192855351819,0.502838331202438,0.48520728703986304,0.4673276508383718,0.5471686586981623
3,9.0,0.542438454496066,0.5254829600001888,0.49067020837875036,0.4728640476666458,0.4548303642684453,0.4366021641552571,0.4182154567327555,0.3997092116869034,0.4834119494677632
4,10.0,0.4905359026644876,0.47272789703889023,0.43646306456470313,0.4180752986677166,0.39956830226605183,0.3809839421855321,0.3623668295566887,0.34376413942270473,0.4289542487127979
5,11.0,0.44052394200238854,0.4221680287429558,0.3851130315534592,0.36649920180562606,0.34788911415283597,0.32933177967579286,0.31087831899228535,0.29258162703703094,0.3774973059591513
6,12.0,0.40346835245935514,0.3848966477196681,0.3476728284999031,0.32911640474980175,0.31066446064867353,0.29236990956710435,0.27428703987357433,0.25647106074694803,0.34006869760182074
7,13.0,0.36617550852010533,0.3475659127961137,0.3105587500618701,0.2922652600123911,0.27418376668142086,0.2563694831172522,0.23887802832660088,0.22176486094786454,0.3030494203227676
8,14.0,0.3415235026804965,0.32299589841327364,0.28635954304039873,0.26835885324711556,0.250643441423895,0.23326893906709814,0.21629062226925735,0.19976278188803964,0.2789612491191331
9,15.0,0.31799878637914514,0.2996351006914613,0.26353238683894753,0.24590377940409727,0.2286311066024819,0.21176944176286008,0.19537269539756177,0.17949293767582636,0.2562778345119927
10,16.0,0.29561180648514007,0.27748724640322475,0.24206477116399752,0.22487797422659694,0.20811418894427505,0.19182697953642563,0.17606791672840538,0.16088587092429515,0.23498287217025096
