,slump_length,five_pct,ten_pct,fifteen_pct,twenty_pct
0,6.0,0.7624433938238685,0.7265710560344762,0.6864830147303833,0.642098944991269
1,7.0,0.6458827386713931,0.5976150494901162,0.545375718807993,0.4896790793731833
2,8.0,0.5653263532115661,0.51084297057282,0.45337287631902534,0.3939254925264574
3,9.0,0.5029749759846789,0.4451606147415001,0.385535797413268,0.32547386700264674
4,10.0,0.4493554806676242,0.3898178929513361,0.3297353680236242,0.2707400656409072
5,11.0,0.39822558911059003,0.33812678075666075,0.278872562658484,0.22226175238816298
6,12.0,0.3607631271785783,0.30098771598642965,0.24316250479189155,0.18913934603045318
7,13.0,0.3235182365044703,0.2647383838644049,0.20905580817180944,0.15830167442227402
8,14.0,0.29908593660684984,0.2413541172995006,0.187483892676336,0.139246154638128
9,15.0,0.2759569627421017,0.21952768041604415,0.16768113707797783,0.12209264738255449
10,16.0,0.25418041392047425,0.1992722935206683,0.14961381454225509,0.10675286649812991
11,17.0,0.2352671705388649,0.18192797785299764,0.13439943042619037,0.09408706012540868
12,18.0,0.2119308137850071,0.1608686283022368,0.11627225924822987,0.07932838931891158
13,19.0,0.19418719183633934,0.1451278117231845,0.10299339224852523,0.06877078605128839
14,20.0,0.1791056379043956,0.1319473567092406,0.09206876006944834,0.06026350107744842
15,21.0,0.1647473378680425,0.1195808498189771,0.08199347659794833,0.05257486076596431
16,22.0,0.15231405774820037,0.10902550789436381,0.07353850666576249,0.046250413164463905
17,23.0,0.14275518810105,0.10101331888718171,0.06721640549413618,0.04160442259259699
18,24.0,0.1323130626072912,0.09236935261623049,0.06049527998481229,0.036749895611663946
19,25.0,0.12393230594644697,0.08551854935621335,0.055246828569054406,0.033024694859373344
20,26.0,0.1138384607641921,0.0773765148302023,0.04910613238212413,0.028745836290600377
21,27.0,0.10800427229752424,0.07272796014618607,0.04565064999781504,0.026378839198389466
22,28.0,0.1008657275787968,0.06710075997044675,0.04152013679040443,0.02359115026847941
23,29.0,0.09587337061014432,0.06320693220294342,0.03869750420762095,0.021714035536983936
24,30.0,0.0908909860206792,0.05935664940970028,0.03593666322530051,0.019901404819474958
25,31.0,0.0858873953745039,0.05552755681368542,0.03322241053770785,0.018143330680979723
26,32.0,0.08131085652925009,0.05205977017983758,0.03079276029746055,0.016591059389215245
27,33.0,0.07629441001279266,0.04829837358447308,0.028189790314589326,0.014952095354482333
28,34.0,0.07172767779054678,0.044912128798095814,0.02587699136044781,0.013518177490874915
29,35.0,0.06894725789094999,0.04286897702715517,0.024496297663235796,0.012672830590748722
30,36.0,0.06616439525552371,0.04083864071785721,0.023135800756811487,0.011848091204526828
31,37.0,0.06247761999256403,0.03817219780409534,0.02136732099905461,0.010788915646216025
32,38.0,0.06060282207522228,0.0368268457568701,0.020483241550646313,0.010265159694977292
33,39.0,0.05560313703231994,0.03327567174591662,0.0181775906143512,0.008918429134208093
34,40.0,0.05190484859582987,0.030684872785307182,0.016522622676105984,0.007970119577763512
35,41.0,0.04778231936584684,0.02783541063271547,0.01473097952298691,0.006962425024618434
36,42.0,0.045439303321255356,0.0262350742381106,0.013738747920398638,0.006413499642772864
37,43.0,0.04129420968282415,0.023440046194189934,0.012031796213776754,0.005485812704352574
38,44.0,0.03940653286309575,0.022183337118230728,0.011275782422015877,0.005082173216474837
39,45.0,0.03617100951766683,0.020054331391768113,0.01001249311458908,0.00441851014429392
40,46.0,0.03521826152360446,0.019433707506951708,0.009648591192769677,0.004230003369428755
41,47.0,0.033803073047834205,0.018517362109233756,0.009115074501110503,0.003955921327464308
42,48.0,0.033323763474592254,0.018208533685253214,0.008936310838297025,0.0038647133107669
43,49.0,0.030978539924784818,0.016709005525528453,0.008076106743571019,0.0034304482045082957
44,50.0,0.03001588788327541,0.01609922185700442,0.00773014321493588,0.0032580506527212743
45,51.0,0.029053849821626444,0.015493289280158822,0.007388663535133098,0.003089226705705907
46,52.0,0.028568997278126104,0.01518924971998615,0.007218205205637937,0.0030054673774846863
47,53.0,0.027607458063654125,0.014589011841444894,0.006883471192914641,0.0028420138955496874
48,54.0,0.02526936077070908,0.013145134440794641,0.006088420593479508,0.0024595316787348344
49,55.0,0.023844878464167864,0.012276893023838845,0.005617655645489627,0.002237139201492236
50,56.0,0.023363746211549376,0.011985685852826259,0.005461061930290235,0.002163881239599296
51,57.0,0.021955591664091598,0.011139575270316775,0.005009952363016347,0.0019549556235445896
52,58.0,0.02147424319595793,0.010852524293545949,0.0048582650346671126,0.0018854370594802515
53,59.0,0.020993569409882833,0.010567014320902153,0.004708097566908245,0.0018169939097879997
54,60.0,0.02004463589943738,0.010006792613211206,0.00441554768418493,0.0016847762758891427
55,61.0,0.017751334746640444,0.008672653610075236,0.003730783488227018,0.00138151046133238
56,62.0,0.01635128211052132,0.007872873428567847,0.003329012065989561,0.0012080279887862748
57,63.0,0.014533805032868769,0.0068528052808770785,0.0028271089548595634,0.0009965374538847959
58,64.0,0.014048235752152794,0.006583983112029618,0.002696961935632106,0.0009427339833182618
59,65.0,0.012628845027182502,0.005807795874329939,0.0023265791965000455,0.0007921960769036089
60,66.0,0.012139895694532452,0.005543903533836188,0.002202590519766274,0.0007427157365916796
61,67.0,0.010725151059286413,0.004791183672501267,0.0018548156336390066,0.0006066367438473497
62,69.0,0.009752536596864385,0.004283721902001518,0.0016256986802620766,0.0005193903294888115
63,70.0,0.009253719063355327,0.004026879448692329,0.0015115280091512829,0.00047670645859531144
64,71.0,0.00875993740576898,0.0037750419729168645,0.0014008316777895603,0.00043586493525603115
65,72.0,0.008266947412435754,0.003526113075063695,0.001292696272755883,0.0003965183298642453
66,73.0,0.0077763150494408574,0.00328098071533997,0.0011875279363765302,0.0003588083786087888
67,74.0,0.00729430541641658,0.003042818346114779,0.0010866785381343591,0.0003232001124124281
68,77.0,0.006819004182824496,0.002810693906901891,0.0009897266778951567,0.0002895171851257183
69,78.0,0.006350045718214321,0.002584468580737741,0.0008965982044929335,0.00025771002413980113
70,80.0,0.005887231863187458,0.0023641004239982567,0.0008072634918949636,0.00022774538699476293
71,82.0,0.005427003825955251,0.0021479971075509933,0.000721083922529073,0.0001993923359405704
72,88.0,0.004971338192345854,0.0019372227258396277,0.0006385015140978679,0.00017278210521037274
73,89.0,0.004094960994945649,0.0015416687284218206,0.00048792098081930536,0.00012587252098795348
74,91.0,0.0036419163335825937,0.0013428384190206125,0.00041469339286325863,0.00010393462968007726
75,95.0,0.0031996937291110137,0.0011529558615687937,0.0003465385592482864,8.412593820440923e-05
76,109.0,0.002773010822697691,0.0009741183471644435,0.00028414771063429983,6.658939479526496e-05
77,111.0,0.00232719162142948,0.0007924416640676124,0.00022282894119654006,5.001200044565412e-05
78,115.0,0.0018783120549239044,0.0006156970794943418,0.00016553791280377402,3.524244571146415e-05
79,122.0,0.0014378428610165547,0.00044945863497880626,0.00011427075320684291,2.2777373272446155e-05
80,128.0,0.0010079000938517445,0.0002957880550796664,6.981354222844578e-05,1.274926730050547e-05
81,137.0,0.0005853243173767156,0.0001559635801416714,3.285446375522466e-05,5.247794010908332e-06
82,139.0,0.00021737393567653165,4.85732892148754e-05,8.31669473207836e-06,1.040688385111097e-06
